lattitude	longitude	climateTYpe
-23.25	140.25	BWh
-23.75	140.25	BWh
-24.25	140.25	BWh
-24.75	140.25	BWh
-25.25	140.25	BWh
-25.75	140.25	BWh
-26.25	140.25	BWh
-26.75	140.25	BWh
-27.25	140.25	BWh
-27.75	140.25	BWh
-28.25	140.25	BWh
-28.75	140.25	BWh
-29.25	140.25	BWh
-29.75	140.25	BWh
-30.25	140.25	BWh
-30.75	140.25	BWh
-31.25	140.25	BWh
-31.75	140.25	BWh
-32.25	140.25	BWk
-32.75	140.25	BWk
-33.25	140.25	BSk
-33.75	140.25	Cfb
-34.25	140.25	BSk
-34.75	140.25	BSk
-35.25	140.25	BSk
-35.75	140.25	BSk
-36.25	140.25	Csb
-36.75	140.25	Csb
-37.25	140.25	Csb
-23.25	140.75	BWh
-23.75	140.75	BWh
-24.25	140.75	BWh
-24.75	140.75	BWh
-25.25	140.75	BWh
-25.75	140.75	BWh
-26.25	140.75	BWh
-26.75	140.75	BWh
-27.25	140.75	BWh
-27.75	140.75	BWh
-28.25	140.75	BWh
-28.75	140.75	BWh
-29.25	140.75	BWh
-29.75	140.75	BWh
-30.25	140.75	BWh
-30.75	140.75	BWh
-31.25	140.75	BWh
-31.75	140.75	BWh
-32.25	140.75	BWh
-32.75	140.75	BWk
-33.25	140.75	Cfb
-33.75	140.75	Cfb
-34.25	140.75	BSk
-34.75	140.75	BSk
-35.25	140.75	BSk
-35.75	140.75	BSk
-36.25	140.75	Csb
-36.75	140.75	Csb
-37.25	140.75	Csb
-37.75	140.75	Csb
-23.25	141.25	BWh
-23.75	141.25	BWh
-24.25	141.25	BWh
-24.75	141.25	BWh
-25.25	141.25	BWh
-25.75	141.25	BWh
-26.25	141.25	BWh
-26.75	141.25	BWh
-27.25	141.25	BWh
-27.75	141.25	BWh
-28.25	141.25	BWh
-28.75	141.25	BWh
-29.25	141.25	BWh
-29.75	141.25	BWh
-30.25	141.25	BWh
-30.75	141.25	BWh
-31.25	141.25	BWh
-31.75	141.25	BWh
-32.25	141.25	BWh
-32.75	141.25	BWh
-33.25	141.25	BSk
-33.75	141.25	BSk
-34.25	141.25	BSk
-34.75	141.25	BSk
-35.25	141.25	BSk
-35.75	141.25	BSk
-36.25	141.25	BSk
-36.75	141.25	Csb
-37.25	141.25	Csb
-37.75	141.25	Csb
-23.25	141.75	BWh
-23.75	141.75	BWh
-24.25	141.75	BWh
-24.75	141.75	BWh
-25.25	141.75	BWh
-25.75	141.75	BWh
-26.25	141.75	BWh
-26.75	141.75	BWh
-27.25	141.75	BWh
-27.75	141.75	BWh
-28.25	141.75	BWh
-28.75	141.75	BWh
-29.25	141.75	BWh
-29.75	141.75	BWh
-30.25	141.75	BWh
-30.75	141.75	BWh
-31.25	141.75	BWh
-31.75	141.75	BWk
-32.25	141.75	BWh
-32.75	141.75	BWh
-33.25	141.75	BSk
-33.75	141.75	BSk
-34.25	141.75	BSk
-34.75	141.75	BSk
-35.25	141.75	BSk
-35.75	141.75	BSk
-36.25	141.75	BSk
-36.75	141.75	Csb
-37.25	141.75	Csb
-37.75	141.75	Csb
-23.25	142.25	BWh
-23.75	142.25	BWh
-24.25	142.25	BWh
-24.75	142.25	BWh
-25.25	142.25	BWh
-25.75	142.25	BWh
-26.25	142.25	BWh
-26.75	142.25	BWh
-27.25	142.25	BWh
-27.75	142.25	BWh
-28.25	142.25	BWh
-28.75	142.25	BWh
-29.25	142.25	BWh
-29.75	142.25	BWh
-30.25	142.25	BWh
-30.75	142.25	BWh
-31.25	142.25	BWh
-31.75	142.25	BWk
-32.25	142.25	BWh
-32.75	142.25	BWh
-33.25	142.25	BSk
-33.75	142.25	BSk
-34.25	142.25	BSk
-34.75	142.25	BSk
-35.25	142.25	BSk
-35.75	142.25	BSk
-36.25	142.25	BSk
-36.75	142.25	BSk
-37.25	142.25	Csb
-37.75	142.25	Csb
-38.25	142.25	Csb
-23.25	142.75	BWh
-23.75	142.75	BWh
-24.25	142.75	BWh
-24.75	142.75	BWh
-25.25	142.75	BWh
-25.75	142.75	BWh
-26.25	142.75	BWh
-26.75	142.75	BWh
-27.25	142.75	BWh
-27.75	142.75	BWh
-28.25	142.75	BWh
-28.75	142.75	BWh
-29.25	142.75	BWh
-29.75	142.75	BWh
-30.25	142.75	BWh
-30.75	142.75	BWh
-31.25	142.75	BWh
-31.75	142.75	BWh
-32.25	142.75	BWh
-32.75	142.75	BWh
-33.25	142.75	BSk
-33.75	142.75	BSk
-34.25	142.75	BSk
-34.75	142.75	BSk
-35.25	142.75	BSk
-35.75	142.75	BSk
-36.25	142.75	BSk
-36.75	142.75	Cfb
-37.25	142.75	Cfb
-37.75	142.75	Cfb
-38.25	142.75	Cfb
-23.25	143.25	BSh
-23.75	143.25	BSh
-24.25	143.25	BSh
-24.75	143.25	BWh
-25.25	143.25	BWh
-25.75	143.25	BWh
-26.25	143.25	BWh
-26.75	143.25	BWh
-27.25	143.25	BWh
-27.75	143.25	BWh
-28.25	143.25	BWh
-28.75	143.25	BWh
-29.25	143.25	BWh
-29.75	143.25	BWh
-30.25	143.25	BWh
-30.75	143.25	BWh
-31.25	143.25	BWh
-31.75	143.25	BWh
-32.25	143.25	BWh
-32.75	143.25	BSh
-33.25	143.25	BSh
-33.75	143.25	BSk
-34.25	143.25	BSk
-34.75	143.25	BSk
-35.25	143.25	BSk
-35.75	143.25	BSk
-36.25	143.25	BSk
-36.75	143.25	Cfb
-37.25	143.25	Cfb
-37.75	143.25	Cfb
-38.25	143.25	Cfb
-38.75	143.25	Cfb
-23.25	143.75	BSh
-23.75	143.75	BSh
-24.25	143.75	BSh
-24.75	143.75	BSh
-25.25	143.75	BSh
-25.75	143.75	BSh
-26.25	143.75	BSh
-26.75	143.75	BSh
-27.25	143.75	BSh
-27.75	143.75	BSh
-28.25	143.75	BSh
-28.75	143.75	BWh
-29.25	143.75	BWh
-29.75	143.75	BWh
-30.25	143.75	BWh
-30.75	143.75	BWh
-31.25	143.75	BWh
-31.75	143.75	BWh
-32.25	143.75	BSh
-32.75	143.75	BSh
-33.25	143.75	BSh
-33.75	143.75	BSk
-34.25	143.75	BSk
-34.75	143.75	BSk
-35.25	143.75	BSk
-35.75	143.75	BSk
-36.25	143.75	BSk
-36.75	143.75	Cfb
-37.25	143.75	Cfb
-37.75	143.75	Cfb
-38.25	143.75	Cfb
-23.25	144.25	BSh
-23.75	144.25	BSh
-24.25	144.25	BSh
-24.75	144.25	BSh
-25.25	144.25	BSh
-25.75	144.25	BSh
-26.25	144.25	BSh
-26.75	144.25	BSh
-27.25	144.25	BSh
-27.75	144.25	BSh
-28.25	144.25	BSh
-28.75	144.25	BSh
-29.25	144.25	BSh
-29.75	144.25	BSh
-30.25	144.25	BWh
-30.75	144.25	BSh
-31.25	144.25	BSh
-31.75	144.25	BSh
-32.25	144.25	BSh
-32.75	144.25	BSh
-33.25	144.25	BSh
-33.75	144.25	BSk
-34.25	144.25	BSk
-34.75	144.25	BSk
-35.25	144.25	BSk
-35.75	144.25	BSk
-36.25	144.25	BSk
-36.75	144.25	Cfb
-37.25	144.25	Cfb
-37.75	144.25	Cfb
-38.25	144.25	Cfb
-23.25	144.75	BSh
-23.75	144.75	BSh
-24.25	144.75	BSh
-24.75	144.75	BSh
-25.25	144.75	BSh
-25.75	144.75	BSh
-26.25	144.75	BSh
-26.75	144.75	BSh
-27.25	144.75	BSh
-27.75	144.75	BSh
-28.25	144.75	BSh
-28.75	144.75	BSh
-29.25	144.75	BSh
-29.75	144.75	BSh
-30.25	144.75	BSh
-30.75	144.75	BSh
-31.25	144.75	BSh
-31.75	144.75	BSh
-32.25	144.75	BSh
-32.75	144.75	BSh
-33.25	144.75	BSh
-33.75	144.75	BSk
-34.25	144.75	BSk
-34.75	144.75	BSk
-35.25	144.75	BSk
-35.75	144.75	BSk
-36.25	144.75	BSk
-36.75	144.75	Cfb
-37.25	144.75	Cfb
-37.75	144.75	Cfb
-40.75	144.75	Csb
-41.25	144.75	Cfb
-23.25	145.25	BSh
-23.75	145.25	BSh
-24.25	145.25	BSh
-24.75	145.25	BSh
-25.25	145.25	BSh
-25.75	145.25	BSh
-26.25	145.25	BSh
-26.75	145.25	BSh
-27.25	145.25	BSh
-27.75	145.25	BSh
-28.25	145.25	BSh
-28.75	145.25	BSh
-29.25	145.25	BSh
-29.75	145.25	BSh
-30.25	145.25	BSh
-30.75	145.25	BSh
-31.25	145.25	BSh
-31.75	145.25	BSh
-32.25	145.25	BSh
-32.75	145.25	BSh
-33.25	145.25	BSh
-33.75	145.25	BSk
-34.25	145.25	BSk
-34.75	145.25	BSk
-35.25	145.25	BSk
-35.75	145.25	BSk
-36.25	145.25	Cfa
-36.75	145.25	Cfb
-37.25	145.25	Cfb
-37.75	145.25	Cfb
-41.25	145.25	Cfb
-41.75	145.25	Cfb
-23.25	145.75	BSh
-23.75	145.75	BSh
-24.25	145.75	BSh
-24.75	145.75	BSh
-25.25	145.75	BSh
-25.75	145.75	BSh
-26.25	145.75	BSh
-26.75	145.75	BSh
-27.25	145.75	BSh
-27.75	145.75	BSh
-28.25	145.75	BSh
-28.75	145.75	BSh
-29.25	145.75	BSh
-29.75	145.75	BSh
-30.25	145.75	BSh
-30.75	145.75	BSh
-31.25	145.75	BSh
-31.75	145.75	BSh
-32.25	145.75	BSh
-32.75	145.75	BSk
-33.25	145.75	BSh
-33.75	145.75	BSk
-34.25	145.75	BSk
-34.75	145.75	BSk
-35.25	145.75	BSk
-35.75	145.75	BSk
-36.25	145.75	Cfa
-36.75	145.75	Csa
-37.25	145.75	Cfb
-37.75	145.75	Cfb
-38.25	145.75	Cfb
-41.25	145.75	Cfb
-41.75	145.75	Cfc
-42.25	145.75	Cfb
-42.75	145.75	Cfb
-23.25	146.25	BSh
-23.75	146.25	BSh
-24.25	146.25	BSh
-24.75	146.25	BSh
-25.25	146.25	BSh
-25.75	146.25	BSh
-26.25	146.25	BSh
-26.75	146.25	BSh
-27.25	146.25	BSh
-27.75	146.25	BSh
-28.25	146.25	BSh
-28.75	146.25	BSh
-29.25	146.25	BSh
-29.75	146.25	BSh
-30.25	146.25	BSh
-30.75	146.25	BSh
-31.25	146.25	BSh
-31.75	146.25	BSh
-32.25	146.25	BSh
-32.75	146.25	BSk
-33.25	146.25	BSk
-33.75	146.25	BSk
-34.25	146.25	BSk
-34.75	146.25	BSk
-35.25	146.25	BSk
-35.75	146.25	Cfa
-36.25	146.25	Cfa
-36.75	146.25	Cfb
-37.25	146.25	Cfb
-37.75	146.25	Cfb
-38.25	146.25	Cfb
-41.25	146.25	Csb
-41.75	146.25	ET
-42.25	146.25	Cfb
-42.75	146.25	Cfb
-23.25	146.75	BSh
-23.75	146.75	BSh
-24.25	146.75	BSh
-24.75	146.75	BSh
-25.25	146.75	BSh
-25.75	146.75	BSh
-26.25	146.75	BSh
-26.75	146.75	BSh
-27.25	146.75	BSh
-27.75	146.75	BSh
-28.25	146.75	BSh
-28.75	146.75	BSh
-29.25	146.75	BSh
-29.75	146.75	BSh
-30.25	146.75	BSh
-30.75	146.75	BSh
-31.25	146.75	BSh
-31.75	146.75	BSh
-32.25	146.75	BSk
-32.75	146.75	BSk
-33.25	146.75	BSk
-33.75	146.75	BSk
-34.25	146.75	BSk
-34.75	146.75	BSk
-35.25	146.75	Cfa
-35.75	146.75	Cfa
-36.25	146.75	Cfb
-36.75	146.75	Cfb
-37.25	146.75	Cfb
-37.75	146.75	Cfb
-38.25	146.75	Cfb
-41.25	146.75	Csb
-41.75	146.75	Cfc
-42.25	146.75	Cfb
-42.75	146.75	Cfb
-23.25	147.25	BSh
-23.75	147.25	BSh
-24.25	147.25	BSh
-24.75	147.25	BSh
-25.25	147.25	BSh
-25.75	147.25	BSh
-26.25	147.25	BSh
-26.75	147.25	Cfa
-27.25	147.25	BSh
-27.75	147.25	BSh
-28.25	147.25	BSh
-28.75	147.25	BSh
-29.25	147.25	BSh
-29.75	147.25	BSh
-30.25	147.25	BSh
-30.75	147.25	BSh
-31.25	147.25	BSh
-31.75	147.25	BSh
-32.25	147.25	BSk
-32.75	147.25	BSk
-33.25	147.25	BSk
-33.75	147.25	Cfa
-34.25	147.25	Cfa
-34.75	147.25	Cfa
-35.25	147.25	Cfa
-35.75	147.25	Cfa
-36.25	147.25	Cfb
-36.75	147.25	Cfb
-37.25	147.25	Cfb
-37.75	147.25	Cfb
-38.25	147.25	Cfb
-41.25	147.25	Csb
-41.75	147.25	Cfb
-42.25	147.25	Cfb
-23.25	147.75	BSh
-23.75	147.75	BSh
-24.25	147.75	BSh
-24.75	147.75	BSh
-25.25	147.75	BSh
-25.75	147.75	BSh
-26.25	147.75	Cfa
-26.75	147.75	Cfa
-27.25	147.75	BSh
-27.75	147.75	BSh
-28.25	147.75	BSh
-28.75	147.75	BSh
-29.25	147.75	BSh
-29.75	147.75	BSh
-30.25	147.75	BSh
-30.75	147.75	BSh
-31.25	147.75	BSh
-31.75	147.75	BSh
-32.25	147.75	Cfa
-32.75	147.75	Cfa
-33.25	147.75	Cfa
-33.75	147.75	Cfa
-34.25	147.75	Cfa
-34.75	147.75	Cfa
-35.25	147.75	Cfa
-35.75	147.75	Cfb
-36.25	147.75	Cfb
-36.75	147.75	Cfb
-37.25	147.75	Cfb
-37.75	147.75	Cfb
-41.25	147.75	Cfb
-41.75	147.75	Cfb
-42.25	147.75	Cfb
-42.75	147.75	Cfb
-23.25	148.25	BSh
-23.75	148.25	BSh
